342 Trace(s) in Stream:
FR.VALC.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.VERF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.VIEF.00.LHZ  | 2019-02-01T00:59:59.945501Z - 2019-02-08T23:59:58.945501Z | 1.0 Hz, 687600 samples
FR.VOEL.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.WLS.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.XAFF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ZELS.00.LHZ  | 2019-02-01T01:00:00.000001Z - 2019-02-08T23:59:59.000001Z | 1.0 Hz, 687600 samples
G.CLF.00.LHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
G.ECH.00.LHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
G.SSB.00.LHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GB.CCA1..BHZ    | 2019-02-01T01:00:00.004999Z - 2019-02-08T23:59:59.004999Z | 1.0 Hz, 687600 samples
GB.CLGH..BHZ    | 2019-02-01T01:00:00.014999Z - 2019-02-08T23:59:59.014999Z | 1.0 Hz, 687600 samples
GB.CWF..BHZ     | 2019-02-01T01:00:00.005000Z - 2019-02-08T23:59:59.005000Z | 1.0 Hz, 687600 samples
GB.DRUM..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.EDI..BHZ     | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.ELSH..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.ESK..BHZ     | 2019-02-01T01:00:00.014999Z - 2019-02-08T23:59:59.014999Z | 1.0 Hz, 687600 samples
GB.FOEL..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.HMNX..BHZ    | 2019-02-01T01:00:00.004999Z - 2019-02-08T23:59:59.004999Z | 1.0 Hz, 687600 samples
GB.HPK..BHZ     | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.HTL..BHZ     | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.IOMK..BHZ    | 2019-02-01T01:00:00.014999Z - 2019-02-08T23:59:59.014999Z | 1.0 Hz, 687600 samples
GB.JSA..BHZ     | 2019-02-01T01:00:00.005000Z - 2019-02-08T23:59:59.005000Z | 1.0 Hz, 687600 samples
GB.KESW..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.KPL..BHZ     | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.LBWR..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.LMK..BHZ     | 2019-02-01T01:00:00.004999Z - 2019-02-08T23:59:59.004999Z | 1.0 Hz, 687600 samples
GB.LRW..BHZ     | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.SOFL..BHZ    | 2019-02-01T01:00:00.005000Z - 2019-02-08T23:59:59.005000Z | 1.0 Hz, 687600 samples
GB.STNC..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.SWN1..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GB.WACR..BHZ    | 2019-02-01T01:00:00.014999Z - 2019-02-08T23:59:59.014999Z | 1.0 Hz, 687600 samples
GB.WLF1..BHZ    | 2019-02-01T01:00:00.015000Z - 2019-02-08T23:59:59.015000Z | 1.0 Hz, 687600 samples
GE.HLG..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GE.IBBN..LHZ    | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GE.MARCO..BHZ   | 2019-02-01T01:00:00.450000Z - 2019-02-08T23:59:59.450000Z | 1.0 Hz, 687600 samples
GE.MATE..LHZ    | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GE.MTE..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GE.RGN..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GE.RUE..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GE.STU..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GR.BFO..LHZ     | 2019-02-01T01:00:00.069538Z - 2019-02-08T23:59:59.069538Z | 1.0 Hz, 687600 samples
GR.BRG..LHZ     | 2019-02-01T01:00:00.069538Z - 2019-02-08T23:59:59.069538Z | 1.0 Hz, 687600 samples
GR.BSEG..LHZ    | 2019-02-01T00:59:59.944999Z - 2019-02-08T23:59:58.944999Z | 1.0 Hz, 687600 samples
GR.BUG..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
GR.CLL..LHZ     | 2019-02-01T00:59:59.815000Z - 2019-02-08T23:59:58.815000Z | 1.0 Hz, 687600 samples
GR.CLZ..LHZ     | 2019-02-01T01:00:00.055000Z - 2019-02-08T23:59:59.055000Z | 1.0 Hz, 687600 samples
GR.FBRG..LHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GR.FUR..LHZ     | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GEC2..BHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GR.GED1..BHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GR.GED5..BHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GR.GOLD..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GOR1..BHZ    | 2019-02-01T01:00:00.019538Z - 2019-02-08T23:59:59.019538Z | 1.0 Hz, 687600 samples
GR.GRA1..LHZ    | 2019-02-01T01:00:00.269999Z - 2019-02-08T23:59:59.269999Z | 1.0 Hz, 687600 samples
GR.GRA2..LHZ    | 2019-02-01T01:00:00.045000Z - 2019-02-08T23:59:59.045000Z | 1.0 Hz, 687600 samples
GR.GRA3..LHZ    | 2019-02-01T00:59:59.845000Z - 2019-02-08T23:59:58.845000Z | 1.0 Hz, 687600 samples
GR.GRA4..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GRB2..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GRB3..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GRB4..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GRB5..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GRC1..LHZ    | 2019-02-01T01:00:00.099999Z - 2019-02-08T23:59:59.099999Z | 1.0 Hz, 687600 samples
GR.GRC2..LHZ    | 2019-02-01T01:00:00.144999Z - 2019-02-08T23:59:59.144999Z | 1.0 Hz, 687600 samples
GR.GRC3..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.GRC4..LHZ    | 2019-02-01T01:00:00.029999Z - 2019-02-08T23:59:59.029999Z | 1.0 Hz, 687600 samples
GR.HAM4..LHZ    | 2019-02-01T01:00:00.125000Z - 2019-02-08T23:59:59.125000Z | 1.0 Hz, 687600 samples
GR.IGAD..LHZ    | 2019-02-01T01:00:00.059999Z - 2019-02-08T23:59:59.059999Z | 1.0 Hz, 687600 samples
GR.KAST..LHZ    | 2019-02-01T01:00:00.224999Z - 2019-02-08T23:59:59.224999Z | 1.0 Hz, 687600 samples
GR.KHUS..BHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GR.KUDEN..BHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
GR.LNIZ..LHZ    | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.MOX..LHZ     | 2019-02-01T01:00:00.069542Z - 2019-02-08T23:59:59.069542Z | 1.0 Hz, 687600 samples
GR.NRDL..LHZ    | 2019-02-01T01:00:00.069539Z - 2019-02-08T23:59:59.069539Z | 1.0 Hz, 687600 samples
GR.RETHO..LHZ   | 2019-02-01T01:00:00.029999Z - 2019-02-08T23:59:59.029999Z | 1.0 Hz, 687600 samples
GR.SKMB..LHZ    | 2019-02-01T01:00:00.039999Z - 2019-02-08T23:59:59.039999Z | 1.0 Hz, 687600 samples
GR.TMO22..LHZ   | 2019-02-01T01:00:00.071862Z - 2019-02-08T23:59:59.071862Z | 1.0 Hz, 687600 samples
GR.TNS..LHZ     | 2019-02-01T00:59:59.640000Z - 2019-02-08T23:59:58.640000Z | 1.0 Hz, 687600 samples
GR.UBBA..BHZ    | 2019-02-01T01:00:00.019542Z - 2019-02-08T23:59:59.019542Z | 1.0 Hz, 687600 samples
GR.UBR..LHZ     | 2019-02-01T01:00:00.069538Z - 2019-02-08T23:59:59.069538Z | 1.0 Hz, 687600 samples
GU.CIRO..LHZ    | 2019-02-01T00:59:59.660000Z - 2019-02-08T23:59:58.660000Z | 1.0 Hz, 687600 samples
GU.GORR..LHZ    | 2019-02-01T01:00:00.160000Z - 2019-02-08T23:59:59.160000Z | 1.0 Hz, 687600 samples
GU.PCP..LHZ     | 2019-02-01T00:59:59.780000Z - 2019-02-08T23:59:58.780000Z | 1.0 Hz, 687600 samples
GU.POPM..LHZ    | 2019-02-01T01:00:00.480000Z - 2019-02-08T23:59:59.480000Z | 1.0 Hz, 687600 samples
GU.PZZ..LHZ     | 2019-02-01T01:00:00.110000Z - 2019-02-08T23:59:59.110000Z | 1.0 Hz, 687600 samples
GU.RORO..LHZ    | 2019-02-01T00:59:59.730000Z - 2019-02-08T23:59:58.730000Z | 1.0 Hz, 687600 samples
GU.SATI..LHZ    | 2019-02-01T01:00:00.310000Z - 2019-02-08T23:59:59.310000Z | 1.0 Hz, 687600 samples
GU.TRAV..LHZ    | 2019-02-01T00:59:59.830000Z - 2019-02-08T23:59:58.830000Z | 1.0 Hz, 687600 samples
II.BORG.00.LHZ  | 2019-02-01T01:00:00.069536Z - 2019-02-08T23:59:59.069536Z | 1.0 Hz, 687600 samples
IM.EKB10..BHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
IM.EKB2..BHZ    | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
